Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
ACHERES VILLE;87381657;Dimanche;2014;2014-05-18;A;A;De 16h à 20h;625
ACHERES VILLE;87381657;JOB;2018;2018-03-27;A;A;De 6h à 10h;2397
CERGY LE HAUT;87382655;JOB;2018;2018-03-27;A;A;De 16h à 20h;1005
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;A;A;De 16h à 20h;5461
HOUILLES CARRIERES SUR SEINE;87386409;Samedi;2014;2014-05-17;A;A;De 6h à 10h;1362
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-24;B;B;De 16h à 20h;392
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Dimanche;2019;2019-03-24;B;B;Après 20h;3610
DRANCY;87271403;JOB;2019;2019-03-21;B;B;De 10h à 16h;567
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;De 10h à 16h;3610
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-21;B;B;De 6h à 10h;1421
LA PLAINE STADE DE FRANCE;87164798;Dimanche;2019;2019-03-17;B;B;Avant 6h;143
LA PLAINE STADE DE FRANCE;87164798;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;1336
LA PLAINE STADE DE FRANCE;87164798;Samedi;2019;2019-03-16;B;B;Avant 6h;308
LE BLANC MESNIL;87271478;Samedi;2019;2019-03-16;B;B;De 6h à 10h;1046
PARC DES EXPOSITIONS;87271486;JOB;2019;2019-03-28;B;B;De 16h à 20h;2867
PARC DES EXPOSITIONS;87271486;Samedi;2019;2019-03-16;B;B;De 10h à 16h;717
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;Après 20h;95
VERT GALANT;87271437;JOB;2019;2019-03-28;B;B;Avant 6h;513
VILLEPARISIS MITRY LE NEUF;87271510;Samedi;2019;2019-03-16;B;B;Avant 6h;106
VILLEPINTE;87271452;JOB;2019;2019-03-28;B;B;De 6h à 10h;2174
ARPAJON;87545467;Samedi;2017;2017-04-22;C;C;De 16h à 20h;350
BIEVRES;87393546;Samedi;2017;2017-04-22;C;C;Avant 6h;4
BRETIGNY;87545194;JOB;2017;2017-04-25;C;C;De 10h à 16h;2134
CERNAY;87276063;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;143
CHAVILLE VELIZY;87393173;Dimanche;2017;2017-04-23;C;C;Avant 6h;3
CHAVILLE VELIZY;87393173;JOB;2017;2017-04-25;C;C;Avant 6h;30
ACHERES VILLE;87381657;Samedi;2014;2014-05-17;A;A;De 16h à 20h;771
CHILLY MAZARIN;87393637;JOB;2017;2017-04-25;C;C;De 16h à 20h;485
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014;2014-05-17;A;A;Avant 6h;135
CHOISY LE ROI;87545285;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;1422
NEUVILLE UNIVERSITE;87334482;Samedi;2014;2014-05-17;A;A;Avant 6h;22
DOURDAN LA FORET;87540179;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;0
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;A;A;De 10h à 16h;2345
EPINAY SUR ORGE;87545228;JOB;2017;2017-04-25;C;C;De 10h à 16h;1137
SARTROUVILLE;87386417;JOB;2018;2018-03-27;A;A;Avant 6h;175
ETAMPES;87545137;Samedi;2017;2017-04-22;C;C;Après 20h;174
SARTROUVILLE;87386417;Samedi;2014;2014-05-17;A;A;De 10h à 16h;3095
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;JOB;2017;2017-04-25;C;C;Après 20h;182
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-16;B;B;Avant 6h;82
GARE DE MONNERVILLE;87551111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;0
AEROPORT CHARLES DE GAULLE 1;87271460;Samedi;2019;2019-03-16;B;B;De 10h à 16h;1772
GENNEVILLIERS;87271205;Samedi;2017;2017-04-22;C;C;De 10h à 16h;703
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Samedi;2019;2019-03-16;B;B;De 6h à 10h;1665
IGNY;87393561;Samedi;2017;2017-04-22;C;C;Avant 6h;8
DRANCY;87271403;JOB;2019;2019-03-28;B;B;Après 20h;457
INVALIDES;87393033;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;5513
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;Après 20h;851
IVRY SUR SEINE;87545301;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1116
DRANCY;87271403;Samedi;2019;2019-03-16;B;B;De 16h à 20h;1858
JUVISY;87545244;JOB;2017;2017-04-25;C;C;De 6h à 10h;21489
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-03-21;B;B;Après 20h;766
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Samedi;2017;2017-04-22;C;C;Après 20h;43
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-04-02;B;B;Avant 6h;123
LARDY;87545160;Samedi;2017;2017-04-22;C;C;Après 20h;35
PARIS NORD;87271031;JOB;2019;2019-03-28;B;B;De 16h à 20h;24822
LARDY;87545160;Samedi;2017;2017-04-22;C;C;De 10h à 16h;126
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-21;B;B;De 6h à 10h;647
LES ARDOINES;87492108;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;262
SEVRAN LIVRY;87271429;JOB;2019;2019-03-28;B;B;De 6h à 10h;4478
LES GRESILLONS;87272146;Dimanche;2017;2017-04-23;C;C;Après 20h;117
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;1164
ACHERES GRAND CORMIER;87386052;Samedi;2014;2014-05-17;A;A;De 6h à 10h;54
VERT GALANT;87271437;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;751
LES SAULES;87546226;Samedi;2017;2017-04-22;C;C;De 10h à 16h;609
VILLEPINTE;87271452;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;623
LONGJUMEAU;87393611;Samedi;2017;2017-04-22;C;C;De 16h à 20h;89
AMPERE WAGRAM;87771111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;0
CERGY LE HAUT;87382655;Samedi;2014;2014-05-17;A;A;Après 20h;579
ARPAJON;87545467;Dimanche;2017;2017-04-23;C;C;Avant 6h;28
MAROLLES EN HUREPOIX;87545186;JOB;2017;2017-04-25;C;C;De 6h à 10h;2133
ARPAJON;87545467;JOB;2017;2017-04-25;C;C;De 10h à 16h;687
MASSY PALAISEAU;87393579;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;747
ATHIS MONS;87545251;Samedi;2017;2017-04-22;C;C;Avant 6h;17
CERGY SAINT-CHRISTOPHE;87382499;JOB;2018;2018-03-27;A;A;Avant 6h;449
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;Dimanche;2017;2017-04-23;C;C;Avant 6h;16
CERGY SAINT-CHRISTOPHE;87382499;Samedi;2014;2014-05-17;A;A;De 10h à 16h;4362
BIBLIOTHEQUE FRANCOIS MITTERRAND;87328328;JOB;2017;2017-04-25;C;C;De 10h à 16h;9354
MAISONS LAFFITTE;87386425;JOB;2018;2018-03-27;A;A;De 10h à 16h;2247
CERNAY;87276063;Samedi;2017;2017-04-22;C;C;De 16h à 20h;310
NEUVILLE UNIVERSITE;87334482;Dimanche;2014;2014-05-18;A;A;Après 20h;201
CHANVAL;87661111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;0
NEUVILLE UNIVERSITE;87334482;Dimanche;2014;2014-05-18;A;A;De 16h à 20h;397
CHEMIN D'ANTONY;87546317;Samedi;2017;2017-04-22;C;C;Après 20h;17
MONTIGNY BEAUCHAMP;87276089;JOB;2017;2017-04-25;C;C;De 10h à 16h;904
EGLY;87545475;Dimanche;2017;2017-04-23;C;C;Après 20h;16
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;Après 20h;130
EGLY;87545475;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;118
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;Avant 6h;19
EPINAY SUR ORGE;87545228;Samedi;2017;2017-04-22;C;C;De 6h à 10h;522
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-28;B;B;De 6h à 10h;2017
ERMONT EAUBONNE;87276055;Dimanche;2017;2017-04-23;C;C;Avant 6h;16
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;Dimanche;2019;2019-03-17;B;B;Après 20h;491
ERMONT EAUBONNE;87276055;JOB;2017;2017-04-25;C;C;Après 20h;1369
AULNAY SOUS BOIS;87271411;Dimanche;2019;2019-03-17;B;B;De 10h à 16h;5859
ETAMPES;87545137;Dimanche;2017;2017-04-23;C;C;Avant 6h;56
AULNAY SOUS BOIS;87271411;Samedi;2019;2019-03-16;B;B;Après 20h;2363
GENNEVILLIERS;87271205;Dimanche;2017;2017-04-23;C;C;Après 20h;132
PETIT VAUX;87393652;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;39
GRAVIGNY BALIZY;87393645;Samedi;2017;2017-04-22;C;C;Après 20h;31
PETIT VAUX;87393652;JOB;2017;2017-04-25;C;C;Avant 6h;8
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;Avant 6h;91
LA COURNEUVE AUBERVILLIERS;87271304;JOB;2019;2019-03-21;B;B;De 16h à 20h;1826
IVRY SUR SEINE;87545301;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;721
PIERRELAYE;87276097;JOB;2017;2017-04-25;C;C;De 6h à 10h;470
JAVEL;87393066;JOB;2017;2017-04-25;C;C;Avant 6h;22
PLACE DU CARROUGE;87441111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;2
JAVEL;87393066;JOB;2017;2017-04-25;C;C;De 6h à 10h;1750
MITRY CLAYE;87271528;JOB;2019;2019-03-21;B;B;Avant 6h;0
JOUFFROY TOCQUEVILLE;87881111;Samedi;2017;2017-04-22;C;C;Après 20h;1
PONT DE L'ALMA;87393041;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;1354
JOUY EN JOSAS;87393512;Dimanche;2017;2017-04-23;C;C;Après 20h;25
PARC DES EXPOSITIONS;87271486;JOB;2019;2019-03-21;B;B;De 16h à 20h;115
JUVISY;87545244;Samedi;2017;2017-04-22;C;C;De 16h à 20h;4848
PARIS NORD;87271031;Dimanche;2019;2019-03-17;B;B;Après 20h;12590
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;43
PARIS NORD;87271031;Dimanche;2019;2019-03-17;B;B;Avant 6h;1244
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;JOB;2017;2017-04-25;C;C;De 16h à 20h;133
PARIS NORD;87271031;JOB;2019;2019-03-21;B;B;Après 20h;8975
LARDY;87545160;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;18
PARIS NORD;87271031;JOB;2019;2019-03-21;B;B;De 10h à 16h;15272
LARDY;87545160;JOB;2017;2017-04-25;C;C;Avant 6h;21
PORCHEFONTAINE;87393165;Dimanche;2017;2017-04-23;C;C;Après 20h;46
LES ARDOINES;87492108;JOB;2017;2017-04-25;C;C;De 6h à 10h;1496
SEVRAN LIVRY;87271429;Samedi;2019;2019-03-16;B;B;De 10h à 16h;4074
LES GRESILLONS;87272146;Dimanche;2017;2017-04-23;C;C;Avant 6h;26
VERT GALANT;87271437;Dimanche;2019;2019-03-24;B;B;Après 20h;419
LES SAULES;87546226;JOB;2017;2017-04-25;C;C;De 10h à 16h;580
VERT GALANT;87271437;JOB;2019;2019-03-28;B;B;De 10h à 16h;2986
ACHERES VILLE;87381657;Samedi;2014;2014-05-17;A;A;De 6h à 10h;644
VERT GALANT;87271437;JOB;2019;2019-03-21;B;B;De 6h à 10h;187
CERGY LE HAUT;87382655;Dimanche;2014;2014-05-18;A;A;Après 20h;446
VERT GALANT;87271437;Samedi;2019;2019-03-16;B;B;Après 20h;729
CERGY PREFECTURE;87381905;JOB;2018;2018-03-27;A;A;Avant 6h;210
SAINT-CHERON;87545509;Samedi;2017;2017-04-22;C;C;Avant 6h;11
CERGY PREFECTURE;87381905;Samedi;2014;2014-05-17;A;A;Avant 6h;76
SAINT-CYR;87393223;Dimanche;2017;2017-04-23;C;C;Avant 6h;12
MEUDON VAL FLEURY;87393082;JOB;2017;2017-04-25;C;C;De 6h à 10h;2885
VILLEPINTE;87271452;JOB;2019;2019-03-21;B;B;De 10h à 16h;130
MEUDON VAL FLEURY;87393082;Samedi;2017;2017-04-22;C;C;Après 20h;226
SAINT-GRATIEN;87276170;JOB;2017;2017-04-25;C;C;De 16h à 20h;923
MONNERVILLE CENTRE;87332940;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 6h à 10h;1288
MONNERVILLE CENTRE;87332940;Samedi;2017;2017-04-22;C;C;De 6h à 10h;1
SAINT-MICHEL NOTRE DAME;87547315;JOB;2017;2017-04-25;C;C;De 10h à 16h;12108
MONTIGNY BEAUCHAMP;87276089;JOB;2017;2017-04-25;C;C;De 6h à 10h;2676
SAINT-MICHEL SUR ORGE;87545202;JOB;2017;2017-04-25;C;C;Après 20h;157
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-17;B;B;De 16h à 20h;2371
SAINT-OUEN L'AUMONE;87276105;JOB;2017;2017-04-25;C;C;Après 20h;66
AEROPORT CHARLES DE GAULLE 1;87271460;JOB;2019;2019-03-21;B;B;De 6h à 10h;332
ATHIS MONS;87545251;Samedi;2017;2017-04-22;C;C;De 16h à 20h;290
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1365
SAINT-OUEN L'AUMONE LIESSE;87337980;JOB;2017;2017-04-25;C;C;Avant 6h;14
ORLY VILLE;87546200;JOB;2017;2017-04-25;C;C;De 6h à 10h;1548
AVENUE FOCH;87381038;Samedi;2017;2017-04-22;C;C;De 16h à 20h;383
PEREIRE LEVALLOIS;87381012;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;863
AVENUE HENRI MARTIN;87381046;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;292
AEROPORT CHARLES DE GAULLE 2 TGV;87001479;JOB;2019;2019-03-28;B;B;Après 20h;2040
BOULAINVILLIERS;87543181;Samedi;2017;2017-04-22;C;C;De 16h à 20h;920
PEREIRE SAUSSURE;87991111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;2
BOURAY;87545178;JOB;2017;2017-04-25;C;C;Après 20h;18
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-28;B;B;De 16h à 20h;4183
BOURAY;87545178;Samedi;2017;2017-04-22;C;C;De 16h à 20h;111
PETIT JOUY LES LOGES;87393504;JOB;2017;2017-04-25;C;C;Avant 6h;1
BRETIGNY;87545194;Samedi;2017;2017-04-22;C;C;Avant 6h;117
PLACE DU CARROUGE;87441111;JOB;2017;2017-04-25;C;C;De 6h à 10h;16
BREUILLET VILLAGE;87545491;JOB;2017;2017-04-25;C;C;De 6h à 10h;759
LE BLANC MESNIL;87271478;JOB;2019;2019-03-21;B;B;Avant 6h;15
VAUBOYEN;87393538;JOB;2017;2017-04-25;C;C;Avant 6h;0
LE BLANC MESNIL;87271478;JOB;2019;2019-03-28;B;B;De 6h à 10h;2713
VAUBOYEN;87393538;Samedi;2017;2017-04-22;C;C;De 6h à 10h;39
PLACE DU GENERAL LECLERC;87221111;JOB;2017;2017-04-25;C;C;De 10h à 16h;3
CHAMARANDE;87545152;JOB;2017;2017-04-25;C;C;De 16h à 20h;67
LE BOURGET;87271395;Dimanche;2019;2019-03-17;B;B;De 10h à 16h;5905
VIROFLAY RIVE GAUCHE;87393215;JOB;2017;2017-04-25;C;C;De 10h à 16h;866
PONT CARDINET;87381111;JOB;2017;2017-04-25;C;C;De 6h à 10h;54
CHAMARANDE;87545152;JOB;2017;2017-04-25;C;C;De 6h à 10h;190
MITRY CLAYE;87271528;Samedi;2019;2019-03-16;B;B;De 10h à 16h;1160
CHATEAU D'EAU;87331111;JOB;2017;2017-04-25;C;C;De 10h à 16h;1
PONT DE RUNGIS AEROPORT D'ORLY;87546192;JOB;2017;2017-04-25;C;C;De 10h à 16h;424
VITRY SUR SEINE;87545293;JOB;2017;2017-04-25;C;C;Avant 6h;165
PONT DE RUNGIS AEROPORT D'ORLY;87546192;Samedi;2017;2017-04-22;C;C;Après 20h;45
CHILLY MAZARIN;87393637;Dimanche;2017;2017-04-23;C;C;Avant 6h;0
SEVRAN LIVRY;87271429;JOB;2019;2019-03-21;B;B;Avant 6h;16
CHOISY LE ROI;87545285;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;4690
PORCHEFONTAINE;87393165;Samedi;2017;2017-04-22;C;C;Avant 6h;7
DOMMERVILLE CREDIT AGRICOLE;87332965;JOB;2017;2017-04-25;C;C;Avant 6h;4
PORTE DE CLICHY;87111278;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;695
DOURDAN;87545525;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;125
PORTE DE CLICHY;87111278;Samedi;2017;2017-04-22;C;C;Après 20h;435
DOURDAN;87545525;JOB;2017;2017-04-25;C;C;Après 20h;68
PORTE DE CLICHY;87111278;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1291
DOURDAN;87545525;JOB;2017;2017-04-25;C;C;De 6h à 10h;578
RUNGIS LA FRATERNELLE;87546291;Dimanche;2017;2017-04-23;C;C;Avant 6h;1
BUNO GIRONVILLE;87681510;Samedi;2019;2019-03-23;D;D;De 10h à 16h;12
VILLEPARISIS MITRY LE NEUF;87271510;Dimanche;2019;2019-03-17;B;B;De 6h à 10h;519
DOURDAN LA FORET;87540179;JOB;2017;2017-04-25;C;C;De 6h à 10h;27
VILLEPARISIS MITRY LE NEUF;87271510;JOB;2019;2019-03-28;B;B;De 6h à 10h;4164
EGLY;87545475;Samedi;2017;2017-04-22;C;C;De 6h à 10h;77
VILLEPINTE;87271452;Dimanche;2019;2019-03-17;B;B;Après 20h;8
CHATELET LES HALLES;87758607;Dimanche;2019;2019-03-24;D;D;De 6h à 10h;1911
VILLEPINTE;87271452;Samedi;2019;2019-03-16;B;B;De 10h à 16h;1114
EPINAY SUR ORGE;87545228;Dimanche;2017;2017-04-23;C;C;Avant 6h;42
ABLON;87545269;JOB;2017;2017-04-25;C;C;De 10h à 16h;624
ETRECHY;87545145;Dimanche;2017;2017-04-23;C;C;Avant 6h;4
SAINT-MARTIN D'ETAMPES;87545350;Samedi;2017;2017-04-22;C;C;Avant 6h;26
CRETEIL POMPADOUR;87608802;JOB;2019;2019-04-02;D;D;Avant 6h;243
AMPERE WAGRAM;87771111;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1
EVRY VAL DE SEINE;87681361;Dimanche;2019;2019-03-24;D;D;Avant 6h;13
SAINT-MICHEL SUR ORGE;87545202;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;335
GRAVIGNY BALIZY;87393645;Samedi;2017;2017-04-22;C;C;De 10h à 16h;168
ATHIS MONS;87545251;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;103
GARGES SARCELLES;87276196;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;5442
SAINT-OUEN L'AUMONE LIESSE;87337980;JOB;2017;2017-04-25;C;C;De 16h à 20h;512
GARGES SARCELLES;87276196;JOB;2019;2019-03-26;D;D;De 16h à 20h;6339
AVENUE DU PRESIDENT KENNEDY - MAISON DE RADIO FRANCE;87543207;JOB;2017;2017-04-25;C;C;De 6h à 10h;663
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;De 6h à 10h;3983
SAINTE-GENEVIEVE DES BOIS;87545210;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;361
ISSY;87393074;Dimanche;2017;2017-04-23;C;C;Après 20h;83
SAINTE-GENEVIEVE DES BOIS;87545210;JOB;2017;2017-04-25;C;C;Après 20h;222
ISSY;87393074;JOB;2017;2017-04-25;C;C;De 10h à 16h;764
SAINTE-GENEVIEVE DES BOIS;87545210;JOB;2017;2017-04-25;C;C;De 16h à 20h;980
JUVISY;87545244;Dimanche;2019;2019-03-24;D;D;Après 20h;2288
SAINTE-GENEVIEVE DES BOIS;87545210;Samedi;2017;2017-04-22;C;C;Avant 6h;53
LA BORNE BLANCHE;87276287;Dimanche;2019;2019-03-24;D;D;Avant 6h;2
SAVIGNY SUR ORGE;87545236;JOB;2017;2017-04-25;C;C;Avant 6h;328
JOUY EN JOSAS;87393512;JOB;2017;2017-04-25;C;C;Après 20h;46
SERMAISE;87545517;JOB;2017;2017-04-25;C;C;Après 20h;1
JOUY EN JOSAS;87393512;JOB;2017;2017-04-25;C;C;De 10h à 16h;324
BRETIGNY;87545194;JOB;2017;2017-04-25;C;C;De 16h à 20h;3131
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Samedi;2017;2017-04-22;C;C;De 10h à 16h;175
BRETIGNY;87545194;JOB;2017;2017-04-25;C;C;De 6h à 10h;5773
LARDY;87545160;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;119
VAUBOYEN;87393538;Dimanche;2017;2017-04-23;C;C;Avant 6h;0
LE PLESSIS CHENET;87681627;JOB;2019;2019-03-26;D;D;De 6h à 10h;10
VAUBOYEN;87393538;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;28
LE VERT DE MAISONS;87681247;JOB;2019;2019-03-26;D;D;De 16h à 20h;1546
BRIGEOLLET;87111111;Samedi;2017;2017-04-22;C;C;De 10h à 16h;0
LONGJUMEAU;87393611;Dimanche;2017;2017-04-23;C;C;Avant 6h;3
BRIGEOLLET;87111111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;0
LONGJUMEAU;87393611;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;24
VERSAILLES CHANTIERS;87393009;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1015
LES NOUES;87276238;JOB;2019;2019-03-26;D;D;De 16h à 20h;546
CHAMARANDE;87545152;JOB;2017;2017-04-25;C;C;Avant 6h;6
MASSY PALAISEAU;87393579;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;837
CHAMARANDE;87545152;Samedi;2017;2017-04-22;C;C;De 6h à 10h;40
MONNERVILLE CENTRE;87332940;JOB;2017;2017-04-25;C;C;De 16h à 20h;0
BALLANCOURT;87681437;Samedi;2019;2019-03-23;D;D;De 16h à 20h;103
MONTIGNY BEAUCHAMP;87276089;Dimanche;2017;2017-04-23;C;C;Après 20h;118
CESSON;87682161;JOB;2019;2019-03-26;D;D;De 6h à 10h;2566
MUSEE D'ORSAY;87547307;JOB;2017;2017-04-25;C;C;De 6h à 10h;1081
EPINAY SUR SEINE;87271148;Dimanche;2017;2017-04-23;C;C;Avant 6h;50
MUSEE D'ORSAY;87547307;Samedi;2017;2017-04-22;C;C;Après 20h;544
EPINAY SUR SEINE;87271148;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;292
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;De 6h à 10h;332
EPINAY SUR SEINE;87271148;JOB;2017;2017-04-25;C;C;De 16h à 20h;641
ORLY VILLE;87546200;Dimanche;2017;2017-04-23;C;C;Après 20h;106
ETAMPES;87545137;Samedi;2017;2017-04-22;C;C;De 16h à 20h;477
ORLY VILLE;87546200;JOB;2017;2017-04-25;C;C;Avant 6h;122
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;JOB;2017;2017-04-25;C;C;Avant 6h;117
PARIS AUSTERLITZ;87547026;JOB;2017;2017-04-25;C;C;De 10h à 16h;5789
CRETEIL POMPADOUR;87608802;JOB;2019;2019-03-26;D;D;De 16h à 20h;4571
PARIS AUSTERLITZ;87547026;JOB;2017;2017-04-25;C;C;De 6h à 10h;5643
ESSONNES ROBINSON;87681601;Samedi;2019;2019-03-23;D;D;De 16h à 20h;65
ORRY LA VILLE COYE LA FORET;87276279;JOB;2019;2019-03-26;D;D;De 6h à 10h;310
EVRY VAL DE SEINE;87681361;JOB;2019;2019-03-26;D;D;De 16h à 20h;286
PARIS NORD;87271031;JOB;2019;2019-03-26;D;D;De 10h à 16h;20895
GARGES SARCELLES;87276196;Dimanche;2019;2019-03-24;D;D;De 6h à 10h;2853
PONTHIERRY PRINGY;87682526;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;107
IGNY;87393561;JOB;2017;2017-04-25;C;C;De 6h à 10h;401
PETIT VAUX;87393652;JOB;2017;2017-04-25;C;C;Après 20h;9
GOUSSAINVILLE;87276246;Dimanche;2019;2019-03-24;D;D;Avant 6h;28
PETIT VAUX;87393652;JOB;2017;2017-04-25;C;C;De 6h à 10h;411
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;De 16h à 20h;8574
PETIT VAUX;87393652;Samedi;2017;2017-04-22;C;C;Après 20h;21
GOUSSAINVILLE;87276246;Samedi;2019;2019-03-23;D;D;De 16h à 20h;1267
PETIT VAUX;87393652;Samedi;2017;2017-04-22;C;C;De 6h à 10h;50
ISSY;87393074;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1134
PIERRELAYE;87276097;Samedi;2017;2017-04-22;C;C;De 10h à 16h;181
ISSY VAL DE SEINE;87393306;JOB;2017;2017-04-25;C;C;Après 20h;677
SAVIGNY LE TEMPLE NANDY;87682187;JOB;2019;2019-03-26;D;D;De 10h à 16h;1841
LA BORNE BLANCHE;87276287;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;78
PLACE DU CARROUGE;87441111;JOB;2017;2017-04-25;C;C;Avant 6h;3
LA BORNE BLANCHE;87276287;JOB;2019;2019-03-26;D;D;De 16h à 20h;34
SAVIGNY LE TEMPLE NANDY;87682187;JOB;2019;2019-03-26;D;D;De 6h à 10h;3692
LA BORNE BLANCHE;87276287;Samedi;2019;2019-03-23;D;D;De 16h à 20h;43
STADE DE FRANCE SAINT-DENIS;87164780;Dimanche;2019;2019-03-24;D;D;Avant 6h;24
JOUY EN JOSAS;87393512;Dimanche;2017;2017-04-23;C;C;Avant 6h;0
PLACE LOULOU GASTE;87112222;Samedi;2017;2017-04-22;C;C;De 16h à 20h;1
LE BRAS DE FER - EVRY GENOPOLE;87681395;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;532
VIGNEUX SUR SEINE;87681304;Dimanche;2019;2019-03-24;D;D;Après 20h;424
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;118
PONT DE RUNGIS AEROPORT D'ORLY;87546192;Dimanche;2017;2017-04-23;C;C;Après 20h;122
LE MEE;87682179;Samedi;2019;2019-03-23;D;D;Après 20h;224
PONT DE RUNGIS AEROPORT D'ORLY;87546192;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;284
LA NORVILLE SAINT-GERMAIN LES ARPAJON;87545459;Samedi;2017;2017-04-22;C;C;De 6h à 10h;105
PONT DE RUNGIS AEROPORT D'ORLY;87546192;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;229
LE PLESSIS CHENET;87681627;JOB;2019;2019-03-26;D;D;De 10h à 16h;10
VILLENEUVE TRIAGE;87681809;Samedi;2019;2019-03-23;D;D;De 10h à 16h;635
LE PLESSIS CHENET;87681627;JOB;2019;2019-03-26;D;D;De 16h à 20h;58
VILLIERS LE BEL GONESSE ARNOUVILLE;87276220;JOB;2019;2019-03-26;D;D;De 6h à 10h;10249
LES ARDOINES;87492108;Samedi;2017;2017-04-22;C;C;Avant 6h;59
